,dataset,model_name,batch_size,window_size,CGAR,arithmetic_return,average_return,daily_return_variance,daily_return_variance_log,time_weighted_return,total_return,sharp_ratio,value_at_risk,volatility,final_portfolio_value
0,AAPL,CNNEncoder_SC_Agent,64,15,-0.0232701302886662,-5.819463386622925,-0.0090929115415983,2.8670002829850336,2.86971287209496,,-13.91154657415018,-0.0053001860846166,-2.7974094994500653,42.83550141075066,860.8845342584982
1,AAPL,MLPEncoder_Agent,32,15,0.0361723529141322,32.53589679003065,0.0508373387344228,2.953585320305121,2.9711768385722976,,25.93711046876924,0.0297043615789016,-2.7792704392509395,43.47751838588855,1259.3711046876924
2,AAPL,MLPEncoder_SC_Agent,32,15,0.0452436034376058,32.85151884981653,0.0513304982028383,1.2431421419745894,1.2475056072486184,,33.46176584635218,0.0462295178573968,-1.7847368570523758,28.206576730679977,1334.6176584635218
3,AAPL,DQN_SC_Agent,32,15,0.0037784143413155,6.207439815468028,0.0096991247116687,1.2199398902754832,1.209780861088124,,2.360700559393513,0.0089153871771227,-1.809153163051345,27.942110331474773,1023.6070055939352
4,AAPL,GRUEncoder_SC_Agent,64,15,0.1456793940503686,109.2559632429933,0.170712442567177,5.02696497681394,5.048032631491888,,153.65907007537277,0.0763190366906675,-3.5214529243866046,56.72087433353722,2536.590700753728
5,AAPL,CNN_Predictor,32,15,-0.0107340785390763,-6.84137460146918,-0.0106896478147955,0.0351929108697603,0.03559957398978,,-6.718698938188037,-0.0563701187772679,-0.3196166067782799,4.745889058611321,932.8130106181196
6,AAPL,CNN_Predictor,64,15,-0.0107340785390763,-6.84137460146918,-0.0106896478147955,0.0351929108697603,0.03559957398978,,-6.718698938188037,-0.0563701187772679,-0.3196166067782799,4.745889058611321,932.8130106181196
7,AAPL,DQN_Agent,64,15,0.0093684947543914,18.532498755291385,0.0289570293051427,3.9432977177887834,3.9573276209007617,,6.08885719676207,0.0146719553440006,-3.2411201149299877,50.2365458544357,1060.8885719676207
8,AAPL,CNNEncoder_Agent,32,15,0.0050996704555217,5.009831486815104,0.0078278616981486,0.5749469777526343,0.5722561769169403,,3.2298978689292426,0.0105149259525724,-1.240826136739836,19.18244160063275,1032.2989786892924
9,AAPL,DQN_Agent,32,15,0.0246726997944257,26.34606520649109,0.0411657268851423,3.3055193259073854,3.3451371150131144,,17.00389940982659,0.0227506027237128,-2.952808550583861,45.99491676892922,1170.038994098266
10,AAPL,CNN_SC_Predictor,64,15,-0.0107340785390763,-6.84137460146918,-0.0106896478147955,0.0351929108697603,0.03559957398978,,-6.718698938188037,-0.0563701187772679,-0.3196166067782799,4.745889058611321,932.8130106181196
11,AAPL,MLP_SC_Predictor,32,15,-0.0062912914250645,-3.943164169144364,-0.006161194014288,0.052723396012029,0.0525790762880387,,-4.028053131195202,-0.0262988354124748,-0.3842814146158038,5.808870238497208,959.719468688048
12,AAPL,GRUEncoder_Agent,32,15,-0.0158073032120786,-9.357811608066717,-0.0146215806376042,0.2535455601613071,0.2696699521733758,,-9.699163574171823,-0.0288201904615982,-0.8438157116138502,12.738491217692795,903.0083642582816
13,AAPL,DQN_SC_Agent,64,15,-0.0406396977709722,-20.5333199631584,-0.0320833124424349,1.7250603027207714,1.7498470878825498,,-22.97157345665313,-0.0243645645395271,-2.1949530052056483,33.22707621415543,770.2842654334687
14,AAPL,CNNEncoder_SC_Agent,32,15,0.102371749698249,76.01533592367478,0.1187739623807418,3.309295934998453,3.3149854366305576,,92.32093787166887,0.065466819687713,-2.876910158773367,46.0211842350782,1923.209378716689
